gut_id,title,authors,languages,downloads,subjects,gutenberg_epub_url
84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",en,150546,"Frankenstein's monster (Fictitious character) -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Gothic fiction; Horror tales; Monsters -- Fiction; Science fiction; Scientists -- Fiction",https://www.gutenberg.org/ebooks/84.epub3.images
2701,"Moby Dick; Or, The Whale","Melville, Herman",en,116573,"Adventure stories; Ahab, Captain (Fictitious character) -- Fiction; Mentally ill -- Fiction; Psychological fiction; Sea stories; Ship captains -- Fiction; Whales -- Fiction; Whaling -- Fiction; Whaling ships -- Fiction",https://www.gutenberg.org/ebooks/2701.epub3.images
768,Wuthering Heights,"Brontë, Emily",en,114475,Domestic fiction; Foundlings -- Fiction; Heathcliff (Fictitious character : Brontë) -- Fiction; Love stories; Psychological fiction; Rejection (Psychology) -- Fiction; Revenge -- Fiction; Rural families -- Fiction; Triangles (Interpersonal relations) -- Fiction; Yorkshire (England) -- Fiction,https://www.gutenberg.org/ebooks/768.epub3.images
1342,Pride and Prejudice,"Austen, Jane",en,86747,Courtship -- Fiction; Domestic fiction; England -- Fiction; Love stories; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,https://www.gutenberg.org/ebooks/1342.epub3.images
1513,Romeo and Juliet,"Shakespeare, William",en,69731,Conflict of generations -- Drama; Juliet (Fictitious character) -- Drama; Romeo (Fictitious character) -- Drama; Tragedies (Drama); Vendetta -- Drama; Verona (Italy) -- Drama; Youth -- Drama,https://www.gutenberg.org/ebooks/1513.epub3.images
100,The Complete Works of William Shakespeare,"Shakespeare, William",en,56824,"English drama -- Early modern and Elizabethan, 1500-1600",https://www.gutenberg.org/ebooks/100.epub3.images
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",en,55377,British -- Italy -- Fiction; England -- Fiction; Florence (Italy) -- Fiction; Humorous stories; Young women -- Fiction,https://www.gutenberg.org/ebooks/2641.epub3.images
43,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,55107,Horror tales; London (England) -- Fiction; Multiple personality -- Fiction; Physicians -- Fiction; Psychological fiction; Science fiction; Self-experimentation in medicine -- Fiction,https://www.gutenberg.org/ebooks/43.epub3.images
145,Middlemarch,"Eliot, George",en,54079,Bildungsromans; City and town life -- Fiction; Didactic fiction; Domestic fiction; England -- Fiction; Love stories; Married people -- Fiction; Young women -- Fiction,https://www.gutenberg.org/ebooks/145.epub3.images
11,Alice's Adventures in Wonderland,"Carroll, Lewis",en,52940,Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,https://www.gutenberg.org/ebooks/11.epub3.images
64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",en,51487,First loves -- Fiction; Long Island (N.Y.) -- Fiction; Married women -- Fiction; Psychological fiction; Rich people -- Fiction,https://www.gutenberg.org/ebooks/64317.epub3.images
16328,Beowulf: An Anglo-Saxon Epic Poem,Unknown,en,44066,"Dragons -- Poetry; Epic poetry, English (Old); Monsters -- Poetry",https://www.gutenberg.org/ebooks/16328.epub3.images
