domain,gut_id,title,authors,languages,downloads,subjects,preferred_source,preferred_url,gutenberg_epub_url
economics_social,46333,The social contract & discourses,"Rousseau, Jean-Jacques",en,4513,Economics; Political science -- Early works to 1800; Social contract,gutenberg,https://www.gutenberg.org/ebooks/46333.epub3.images,https://www.gutenberg.org/ebooks/46333.epub3.images
economics_social,6737,The Social Cancer: A Complete English Version of Noli Me Tangere,"Rizal, José",en,4398,Historical fiction; Philippines -- History -- 1812-1898 -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/6737.epub3.images,https://www.gutenberg.org/ebooks/6737.epub3.images
economics_social,6867,"Lineage, Life and Labors of José Rizal, Philippine Patriot","Craig, Austin",en,2728,"Rizal, José, 1861-1896",gutenberg,https://www.gutenberg.org/ebooks/6867.epub3.images,https://www.gutenberg.org/ebooks/6867.epub3.images
economics_social,22815,"The Philippine Islands: A Political, Geographical, Ethnographical, Social and Commercial History of the Philippine Archipelago, Embracing the Whole Period of Spanish Rule","Foreman, John, F.R.G.S.",en,2595,Philippines,gutenberg,https://www.gutenberg.org/ebooks/22815.epub3.images,https://www.gutenberg.org/ebooks/22815.epub3.images
economics_social,28496,Introduction to the Science of Sociology,"Park, Robert Ezra, Burgess, E. W. (Ernest Watson)",en,2429,Sociology,gutenberg,https://www.gutenberg.org/ebooks/28496.epub3.images,https://www.gutenberg.org/ebooks/28496.epub3.images
economics_social,40865,Paris and the Social Revolution: A Study of the Revolutionary Elements in the Various Classes of Parisian Society,"Sanborn, Alvan F. (Alvan Francis)",en,2130,"Anarchism -- France; Paris (France) -- Politics and government; Quartier latin (Paris, France); Revolutions; Socialism -- France",gutenberg,https://www.gutenberg.org/ebooks/40865.epub3.images,https://www.gutenberg.org/ebooks/40865.epub3.images
economics_social,41386,Human Nature and Conduct: An introduction to social psychology,"Dewey, John",en,2108,Habit; Social psychology,gutenberg,https://www.gutenberg.org/ebooks/41386.epub3.images,https://www.gutenberg.org/ebooks/41386.epub3.images
economics_social,68291,"Studying the short-story: Sixteen short-story classics with introductions, notes and a new laboratory study method for individual reading and use in colleges and schools.",Unknown,en,2000,Short stories; Short story,gutenberg,https://www.gutenberg.org/ebooks/68291.epub3.images,https://www.gutenberg.org/ebooks/68291.epub3.images
economics_social,3190,1601: Conversation as it was by the Social Fireside in the Time of the Tudors,"Twain, Mark",en,1877,"Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction; Imaginary conversations; Raleigh, Walter, Sir, 1552?-1618 -- Fiction; Satire",gutenberg,https://www.gutenberg.org/ebooks/3190.epub3.images,https://www.gutenberg.org/ebooks/3190.epub3.images
economics_social,1696,The Club of Queer Trades,"Chesterton, G. K. (Gilbert Keith)",en,529,"Detective and mystery stories, English; Private investigators -- England -- London -- Fiction",standardebooks,https://standardebooks.org/ebooks/g-k-chesterton/the-club-of-queer-trades/downloads/g-k-chesterton_the-club-of-queer-trades.epub?source=feed,https://www.gutenberg.org/ebooks/1696.epub3.images
engineering,80,The Online World,"De Presno, Odd",en,4046,Internet,gutenberg,https://www.gutenberg.org/ebooks/80.epub3.images,https://www.gutenberg.org/ebooks/80.epub3.images
engineering,34562,John Deere's Steel Plow,"Kendall, Edward C.",en,4023,"Deere, John, 1804-1886; Plows",gutenberg,https://www.gutenberg.org/ebooks/34562.epub3.images,https://www.gutenberg.org/ebooks/34562.epub3.images
engineering,41538,The Progress of Invention in the Nineteenth Century.,"Byrn, Edward W. (Edward Wright)",en,3275,Inventions -- History; Inventions -- History -- 19th century,gutenberg,https://www.gutenberg.org/ebooks/41538.epub3.images,https://www.gutenberg.org/ebooks/41538.epub3.images
engineering,38015,"De Re Metallica, Translated from the First Latin Edition of 1556","Agricola, Georg",en,3124,Metallurgy -- Early works to 1800; Mineral industries -- Early works to 1800; Paleontology -- Early works to 1800; Zoology -- Pre-Linnaean works,gutenberg,https://www.gutenberg.org/ebooks/38015.epub3.images,https://www.gutenberg.org/ebooks/38015.epub3.images
engineering,46216,Carriages & Coaches: Their History & Their Evolution,"Straus, Ralph",en,2885,Carriages and carts,gutenberg,https://www.gutenberg.org/ebooks/46216.epub3.images,https://www.gutenberg.org/ebooks/46216.epub3.images
